"Psychiatric.Prognosis","Parole.Adjustment","Major.Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Favorable","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
"Unfavorable","Minor Violation","No Major Violation"
